
Xzone.exe:     file format pei-x86-64


Disassembly of section .text:

0000000000401000 <__mingw_invalidParameterHandler>:
  401000:	c3                   	retq   
  401c57:	49 89 f1             	mov    %rsi,%r9
  401c5a:	48 89 4e 08          	mov    %rcx,0x8(%rsi)
  401c5e:	48 89 56 10          	mov    %rdx,0x10(%rsi)
  401c62:	ff 15 2c 66 00 00    	callq  *0x662c(%rip)        # 408294 <__imp_VirtualProtect>
  401c68:	85 c0                	test   %eax,%eax
  401c6a:	0f 85 6e ff ff ff    	jne    401bde <__write_memory.part.0+0xce>
  401c70:	ff 15 9e 65 00 00    	callq  *0x659e(%rip)        # 408214 <__imp_GetLastError>
  401c76:	48 8d 0d db 25 00 00 	lea    0x25db(%rip),%rcx        # 404258 <.rdata+0x78>
  401c7d:	89 c2                	mov    %eax,%edx
  401c7f:	e8 2c 10 00 00       	callq  402cb0 <__report_error>
  401c84:	8b 45 00             	mov    0x0(%rbp),%eax
  401c87:	89 ff                	mov    %edi,%edi
  401c89:	89 03                	mov    %eax,(%rbx)
  401c8b:	8b 44 3d fc          	mov    -0x4(%rbp,%rdi,1),%eax
  401c8f:	89 44 3b fc          	mov    %eax,-0x4(%rbx,%rdi,1)
  401c93:	e9 70 ff ff ff       	jmpq   401c08 <__write_memory.part.0+0xf8>
  401c98:	31 f6                	xor    %esi,%esi
  401c9a:	e9 c8 fe ff ff       	jmpq   401b67 <__write_memory.part.0+0x57>
  401c9f:	89 ff                	mov    %edi,%edi
  401ca1:	0f b7 44 3d fe       	movzwl -0x2(%rbp,%rdi,1),%eax
  401ca6:	66 89 44 3b fe       	mov    %ax,-0x2(%rbx,%rdi,1)
  401cab:	e9 58 ff ff ff       	jmpq   401c08 <__write_memory.part.0+0xf8>
  401cb0:	48 8b 05 71 59 00 00 	mov    0x5971(%rip),%rax        # 407628 <the_secs>
  401cb7:	48 8d 0d 62 25 00 00 	lea    0x2562(%rip),%rcx        # 404220 <.rdata+0x40>
  401cbe:	41 8b 54 24 08       	mov    0x8(%r12),%edx
  401cc3:	4c 8b 44 30 18       	mov    0x18(%rax,%rsi,1),%r8
  401cc8:	e8 e3 0f 00 00       	callq  402cb0 <__report_error>
  401ccd:	48 8d 0d 2c 25 00 00 	lea    0x252c(%rip),%rcx        # 404200 <.rdata+0x20>
  401cd4:	48 89 da             	mov    %rbx,%rdx
  401cd7:	e8 d4 0f 00 00       	callq  402cb0 <__report_error>
  401cdc:	90                   	nop
  401cdd:	0f 1f 00             	nopl   (%rax)

0000000000401ce0 <_pei386_runtime_relocator>:
  401ce0:	55                   	push   %rbp
  401ce1:	41 57                	push   %r15
  401ce3:	41 56                	push   %r14
  401ce5:	41 55                	push   %r13
  401ce7:	41 54                	push   %r12
  401ce9:	57                   	push   %rdi
  401cea:	56                   	push   %rsi
  401ceb:	53                   	push   %rbx
  401cec:	48 83 ec 38          	sub    $0x38,%rsp
  401cf0:	48 8d ac 24 80 00 00 	lea    0x80(%rsp),%rbp
  401cf7:	00 
  401cf8:	8b 1d 22 59 00 00    	mov    0x5922(%rip),%ebx        # 407620 <was_init.95188>
  401cfe:	85 db                	test   %ebx,%ebx
  401d00:	74 11                	je     401d13 <_pei386_runtime_relocator+0x33>
  401d02:	48 8d 65 b8          	lea    -0x48(%rbp),%rsp
  401d06:	5b                   	pop    %rbx
  401d07:	5e                   	pop    %rsi
  401d08:	5f                   	pop    %rdi
  401d09:	41 5c                	pop    %r12
  401d0b:	41 5d                	pop    %r13
  401d0d:	41 5e                	pop    %r14
  401d0f:	41 5f                	pop    %r15
  401d11:	5d                   	pop    %rbp
  401d12:	c3                   	retq   
  401d13:	c7 05 03 59 00 00 01 	movl   $0x1,0x5903(%rip)        # 407620 <was_init.95188>
  401d1a:	00 00 00 
  401d1d:	e8 0e 0b 00 00       	callq  402830 <__mingw_GetSectionCount>
  401d22:	48 98                	cltq   
  401d24:	48 8d 04 80          	lea    (%rax,%rax,4),%rax
  401d28:	48 8d 04 c5 1e 00 00 	lea    0x1e(,%rax,8),%rax
  401d2f:	00 
  401d30:	48 83 e0 f0          	and    $0xfffffffffffffff0,%rax
  401d34:	e8 37 0d 00 00       	callq  402a70 <___chkstk_ms>
  401d39:	4c 8b 25 f0 25 00 00 	mov    0x25f0(%rip),%r12        # 404330 <.refptr.__RUNTIME_PSEUDO_RELOC_LIST_END__>
  401d40:	c7 05 da 58 00 00 00 	movl   $0x0,0x58da(%rip)        # 407624 <maxSections>
  401d47:	00 00 00 
  401d4a:	48 8b 35 ef 25 00 00 	mov    0x25ef(%rip),%rsi        # 404340 <.refptr.__RUNTIME_PSEUDO_RELOC_LIST__>
  401d51:	48 29 c4             	sub    %rax,%rsp
  401d54:	48 8d 44 24 20       	lea    0x20(%rsp),%rax
  401d59:	48 89 05 c8 58 00 00 	mov    %rax,0x58c8(%rip)        # 407628 <the_secs>
  401d60:	4c 89 e0             	mov    %r12,%rax
  401d63:	48 29 f0             	sub    %rsi,%rax
  401d66:	48 83 f8 07          	cmp    $0x7,%rax
  401d6a:	7e 96                	jle    401d02 <_pei386_runtime_relocator+0x22>
  401d6c:	48 83 f8 0b          	cmp    $0xb,%rax
  401d70:	8b 16                	mov    (%rsi),%edx
  401d72:	0f 8e c8 00 00 00    	jle    401e40 <_pei386_runtime_relocator+0x160>
  401d78:	85 d2                	test   %edx,%edx
  401d7a:	0f 84 a4 00 00 00    	je     401e24 <_pei386_runtime_relocator+0x144>
  401d80:	4c 39 e6             	cmp    %r12,%rsi
  401d83:	0f 83 79 ff ff ff    	jae    401d02 <_pei386_runtime_relocator+0x22>
  401d89:	4c 8d 76 08          	lea    0x8(%rsi),%r14
  401d8d:	49 83 c4 07          	add    $0x7,%r12
  401d91:	4c 8b 2d c8 25 00 00 	mov    0x25c8(%rip),%r13        # 404360 <.refptr.__image_base__>
  401d98:	48 8d 7d a8          	lea    -0x58(%rbp),%rdi
  401d9c:	4d 29 f4             	sub    %r14,%r12
  401d9f:	49 c1 ec 03          	shr    $0x3,%r12
  401da3:	4e 8d 64 e6 08       	lea    0x8(%rsi,%r12,8),%r12
  401da8:	eb 0a                	jmp    401db4 <_pei386_runtime_relocator+0xd4>
  401daa:	66 0f 1f 44 00 00    	nopw   0x0(%rax,%rax,1)
  401db0:	49 83 c6 08          	add    $0x8,%r14
  401db4:	8b 4e 04             	mov    0x4(%rsi),%ecx
  401db7:	41 b8 04 00 00 00    	mov    $0x4,%r8d
  401dbd:	48 89 fa             	mov    %rdi,%rdx
  401dc0:	8b 06                	mov    (%rsi),%eax
  401dc2:	4c 89 f6             	mov    %r14,%rsi
  401dc5:	4c 01 e9             	add    %r13,%rcx
  401dc8:	03 01                	add    (%rcx),%eax
  401dca:	89 45 a8             	mov    %eax,-0x58(%rbp)
  401dcd:	e8 3e fd ff ff       	callq  401b10 <__write_memory.part.0>
  401dd2:	4d 39 e6             	cmp    %r12,%r14
  401dd5:	75 d9                	jne    401db0 <_pei386_runtime_relocator+0xd0>
  401dd7:	8b 05 47 58 00 00    	mov    0x5847(%rip),%eax        # 407624 <maxSections>
  401ddd:	31 f6                	xor    %esi,%esi
  401ddf:	4c 8b 25 ae 64 00 00 	mov    0x64ae(%rip),%r12        # 408294 <__imp_VirtualProtect>
  401de6:	85 c0                	test   %eax,%eax
  401de8:	0f 8e 14 ff ff ff    	jle    401d02 <_pei386_runtime_relocator+0x22>
  401dee:	66 90                	xchg   %ax,%ax
  401df0:	48 8b 05 31 58 00 00 	mov    0x5831(%rip),%rax        # 407628 <the_secs>
  401df7:	48 01 f0             	add    %rsi,%rax
  401dfa:	44 8b 00             	mov    (%rax),%r8d
  401dfd:	45 85 c0             	test   %r8d,%r8d
  401e00:	74 0e                	je     401e10 <_pei386_runtime_relocator+0x130>
  401e02:	48 8b 50 10          	mov    0x10(%rax),%rdx
  401e06:	49 89 f9             	mov    %rdi,%r9
  401e09:	48 8b 48 08          	mov    0x8(%rax),%rcx
  401e0d:	41 ff d4             	callq  *%r12
  401e10:	83 c3 01             	add    $0x1,%ebx
  401e13:	48 83 c6 28          	add    $0x28,%rsi
  401e17:	3b 1d 07 58 00 00    	cmp    0x5807(%rip),%ebx        # 407624 <maxSections>
  401e1d:	7c d1                	jl     401df0 <_pei386_runtime_relocator+0x110>
  401e1f:	e9 de fe ff ff       	jmpq   401d02 <_pei386_runtime_relocator+0x22>
  401e24:	8b 4e 04             	mov    0x4(%rsi),%ecx
  401e27:	85 c9                	test   %ecx,%ecx
  401e29:	0f 85 51 ff ff ff    	jne    401d80 <_pei386_runtime_relocator+0xa0>
  401e2f:	8b 56 08             	mov    0x8(%rsi),%edx
  401e32:	85 d2                	test   %edx,%edx
  401e34:	75 1d                	jne    401e53 <_pei386_runtime_relocator+0x173>
  401e36:	8b 56 0c             	mov    0xc(%rsi),%edx
  401e39:	48 83 c6 0c          	add    $0xc,%rsi
  401e3d:	0f 1f 00             	nopl   (%rax)
  401e40:	85 d2                	test   %edx,%edx
  401e42:	0f 85 38 ff ff ff    	jne    401d80 <_pei386_runtime_relocator+0xa0>
  401e48:	8b 46 04             	mov    0x4(%rsi),%eax
  401e4b:	85 c0                	test   %eax,%eax
  401e4d:	0f 85 2d ff ff ff    	jne    401d80 <_pei386_runtime_relocator+0xa0>
  401e53:	8b 56 08             	mov    0x8(%rsi),%edx
  401e56:	83 fa 01             	cmp    $0x1,%edx
  401e59:	0f 85 2f 01 00 00    	jne    401f8e <_pei386_runtime_relocator+0x2ae>
  401e5f:	4c 8b 2d fa 24 00 00 	mov    0x24fa(%rip),%r13        # 404360 <.refptr.__image_base__>
  401e66:	48 83 c6 0c          	add    $0xc,%rsi
  401e6a:	49 bf 00 00 00 00 ff 	movabs $0xffffffff00000000,%r15
  401e71:	ff ff ff 
  401e74:	4c 8d 75 a8          	lea    -0x58(%rbp),%r14
  401e78:	4c 39 e6             	cmp    %r12,%rsi
  401e7b:	72 48                	jb     401ec5 <_pei386_runtime_relocator+0x1e5>
  401e7d:	e9 80 fe ff ff       	jmpq   401d02 <_pei386_runtime_relocator+0x22>
  401e82:	0f 86 b8 00 00 00    	jbe    401f40 <_pei386_runtime_relocator+0x260>
  401e88:	83 fa 20             	cmp    $0x20,%edx
  401e8b:	0f 84 7f 00 00 00    	je     401f10 <_pei386_runtime_relocator+0x230>
  401e91:	83 fa 40             	cmp    $0x40,%edx
  401e94:	0f 85 e0 00 00 00    	jne    401f7a <_pei386_runtime_relocator+0x29a>
  401e9a:	48 8b 11             	mov    (%rcx),%rdx
  401e9d:	41 b8 08 00 00 00    	mov    $0x8,%r8d
  401ea3:	4c 89 f7             	mov    %r14,%rdi
  401ea6:	48 29 c2             	sub    %rax,%rdx
  401ea9:	4c 01 ca             	add    %r9,%rdx
  401eac:	48 89 55 a8          	mov    %rdx,-0x58(%rbp)
  401eb0:	4c 89 f2             	mov    %r14,%rdx
  401eb3:	e8 58 fc ff ff       	callq  401b10 <__write_memory.part.0>
  401eb8:	48 83 c6 0c          	add    $0xc,%rsi
  401ebc:	4c 39 e6             	cmp    %r12,%rsi
  401ebf:	0f 83 12 ff ff ff    	jae    401dd7 <_pei386_runtime_relocator+0xf7>
  401ec5:	8b 4e 04             	mov    0x4(%rsi),%ecx
  401ec8:	8b 06                	mov    (%rsi),%eax
  401eca:	0f b6 56 08          	movzbl 0x8(%rsi),%edx
  401ece:	4c 01 e9             	add    %r13,%rcx
  401ed1:	4c 01 e8             	add    %r13,%rax
  401ed4:	83 fa 10             	cmp    $0x10,%edx
  401ed7:	4c 8b 08             	mov    (%rax),%r9
  401eda:	75 a6                	jne    401e82 <_pei386_runtime_relocator+0x1a2>
  401edc:	44 0f b7 01          	movzwl (%rcx),%r8d
  401ee0:	4c 89 f2             	mov    %r14,%rdx
  401ee3:	4c 89 f7             	mov    %r14,%rdi
  401ee6:	4d 89 c2             	mov    %r8,%r10
  401ee9:	49 81 ca 00 00 ff ff 	or     $0xffffffffffff0000,%r10
  401ef0:	66 45 85 c0          	test   %r8w,%r8w
  401ef4:	4d 0f 48 c2          	cmovs  %r10,%r8
  401ef8:	49 29 c0             	sub    %rax,%r8
  401efb:	4d 01 c8             	add    %r9,%r8
  401efe:	4c 89 45 a8          	mov    %r8,-0x58(%rbp)
  401f02:	41 b8 02 00 00 00    	mov    $0x2,%r8d
  401f08:	e8 03 fc ff ff       	callq  401b10 <__write_memory.part.0>
  401f0d:	eb a9                	jmp    401eb8 <_pei386_runtime_relocator+0x1d8>
  401f0f:	90                   	nop
  401f10:	8b 11                	mov    (%rcx),%edx
  401f12:	4c 89 f7             	mov    %r14,%rdi
  401f15:	49 89 d0             	mov    %rdx,%r8
  401f18:	4c 09 fa             	or     %r15,%rdx
  401f1b:	45 85 c0             	test   %r8d,%r8d
  401f1e:	49 0f 49 d0          	cmovns %r8,%rdx
  401f22:	41 b8 04 00 00 00    	mov    $0x4,%r8d
  401f28:	48 29 c2             	sub    %rax,%rdx
  401f2b:	4c 01 ca             	add    %r9,%rdx
  401f2e:	48 89 55 a8          	mov    %rdx,-0x58(%rbp)
  401f32:	4c 89 f2             	mov    %r14,%rdx
  401f35:	e8 d6 fb ff ff       	callq  401b10 <__write_memory.part.0>
  401f3a:	e9 79 ff ff ff       	jmpq   401eb8 <_pei386_runtime_relocator+0x1d8>
  401f3f:	90                   	nop
  401f40:	83 fa 08             	cmp    $0x8,%edx
  401f43:	75 35                	jne    401f7a <_pei386_runtime_relocator+0x29a>
  401f45:	44 0f b6 01          	movzbl (%rcx),%r8d
  401f49:	4c 89 f2             	mov    %r14,%rdx
  401f4c:	4c 89 f7             	mov    %r14,%rdi
  401f4f:	4d 89 c2             	mov    %r8,%r10
  401f52:	49 81 ca 00 ff ff ff 	or     $0xffffffffffffff00,%r10
  401f59:	45 84 c0             	test   %r8b,%r8b
  401f5c:	4d 0f 48 c2          	cmovs  %r10,%r8
  401f60:	49 29 c0             	sub    %rax,%r8
  401f63:	4d 01 c8             	add    %r9,%r8
  401f66:	4c 89 45 a8          	mov    %r8,-0x58(%rbp)
  401f6a:	41 b8 01 00 00 00    	mov    $0x1,%r8d
  401f70:	e8 9b fb ff ff       	callq  401b10 <__write_memory.part.0>
  401f75:	e9 3e ff ff ff       	jmpq   401eb8 <_pei386_runtime_relocator+0x1d8>
  401f7a:	48 8d 0d 37 23 00 00 	lea    0x2337(%rip),%rcx        # 4042b8 <.rdata+0xd8>
  401f81:	48 c7 45 a8 00 00 00 	movq   $0x0,-0x58(%rbp)
  401f88:	00 
  401f89:	e8 22 0d 00 00       	callq  402cb0 <__report_error>
  401f8e:	48 8d 0d eb 22 00 00 	lea    0x22eb(%rip),%rcx        # 404280 <.rdata+0xa0>
  401f95:	e8 16 0d 00 00       	callq  402cb0 <__report_error>
  401f9a:	90                   	nop
  401f9b:	90                   	nop
  401f9c:	90                   	nop
  401f9d:	90                   	nop
  401f9e:	90                   	nop
  401f9f:	90                   	nop

0000000000401fa0 <__mingw_SEH_error_handler>:
  401fa0:	48 83 ec 28          	sub    $0x28,%rsp
  401fa4:	8b 01                	mov    (%rcx),%eax
  401fa6:	3d 91 00 00 c0       	cmp    $0xc0000091,%eax
  401fab:	77 63                	ja     402010 <__mingw_SEH_error_handler+0x70>
  401fad:	3d 8d 00 00 c0       	cmp    $0xc000008d,%eax
  401fb2:	73 7b                	jae    40202f <__mingw_SEH_error_handler+0x8f>
  401fb4:	3d 08 00 00 c0       	cmp    $0xc0000008,%eax
  401fb9:	0f 84 05 01 00 00    	je     4020c4 <__mingw_SEH_error_handler+0x124>
  401fbf:	0f 87 cb 00 00 00    	ja     402090 <__mingw_SEH_error_handler+0xf0>
  401fc5:	3d 02 00 00 80       	cmp    $0x80000002,%eax
  401fca:	0f 84 f4 00 00 00    	je     4020c4 <__mingw_SEH_error_handler+0x124>
  401fd0:	3d 05 00 00 c0       	cmp    $0xc0000005,%eax
  401fd5:	0f 85 c3 00 00 00    	jne    40209e <__mingw_SEH_error_handler+0xfe>
  401fdb:	31 d2                	xor    %edx,%edx
  401fdd:	b9 0b 00 00 00       	mov    $0xb,%ecx
  401fe2:	e8 e1 0a 00 00       	callq  402ac8 <signal>
  401fe7:	48 83 f8 01          	cmp    $0x1,%rax
  401feb:	0f 84 2f 01 00 00    	je     402120 <__mingw_SEH_error_handler+0x180>
  401ff1:	48 85 c0             	test   %rax,%rax
  401ff4:	0f 84 3c 01 00 00    	je     402136 <__mingw_SEH_error_handler+0x196>
  401ffa:	b9 0b 00 00 00       	mov    $0xb,%ecx
  401fff:	ff d0                	callq  *%rax
  402001:	31 c0                	xor    %eax,%eax
  402003:	48 83 c4 28          	add    $0x28,%rsp
  402007:	c3                   	retq   
  402008:	0f 1f 84 00 00 00 00 	nopl   0x0(%rax,%rax,1)
  40200f:	00 
  402010:	3d 94 00 00 c0       	cmp    $0xc0000094,%eax
  402015:	0f 84 b5 00 00 00    	je     4020d0 <__mingw_SEH_error_handler+0x130>
  40201b:	77 37                	ja     402054 <__mingw_SEH_error_handler+0xb4>
  40201d:	3d 92 00 00 c0       	cmp    $0xc0000092,%eax
  402022:	0f 84 9c 00 00 00    	je     4020c4 <__mingw_SEH_error_handler+0x124>
  402028:	3d 93 00 00 c0       	cmp    $0xc0000093,%eax
  40202d:	75 6f                	jne    40209e <__mingw_SEH_error_handler+0xfe>
  40202f:	31 d2                	xor    %edx,%edx
  402031:	b9 08 00 00 00       	mov    $0x8,%ecx
  402036:	e8 8d 0a 00 00       	callq  402ac8 <signal>
  40203b:	48 83 f8 01          	cmp    $0x1,%rax
  40203f:	74 6f                	je     4020b0 <__mingw_SEH_error_handler+0x110>
  402041:	48 85 c0             	test   %rax,%rax
  402044:	74 58                	je     40209e <__mingw_SEH_error_handler+0xfe>
  402046:	b9 08 00 00 00       	mov    $0x8,%ecx
  40204b:	ff d0                	callq  *%rax
  40204d:	31 c0                	xor    %eax,%eax
  40204f:	48 83 c4 28          	add    $0x28,%rsp
  402053:	c3                   	retq   
  402054:	3d 95 00 00 c0       	cmp    $0xc0000095,%eax
  402059:	74 69                	je     4020c4 <__mingw_SEH_error_handler+0x124>
  40205b:	3d 96 00 00 c0       	cmp    $0xc0000096,%eax
  402060:	75 3c                	jne    40209e <__mingw_SEH_error_handler+0xfe>
  402062:	31 d2                	xor    %edx,%edx
  402064:	b9 04 00 00 00       	mov    $0x4,%ecx
  402069:	e8 5a 0a 00 00       	callq  402ac8 <signal>
  40206e:	48 83 f8 01          	cmp    $0x1,%rax
  402072:	0f 84 88 00 00 00    	je     402100 <__mingw_SEH_error_handler+0x160>
  402078:	48 85 c0             	test   %rax,%rax
  40207b:	0f 84 b5 00 00 00    	je     402136 <__mingw_SEH_error_handler+0x196>
  402081:	b9 04 00 00 00       	mov    $0x4,%ecx
  402086:	ff d0                	callq  *%rax
  402088:	31 c0                	xor    %eax,%eax
  40208a:	48 83 c4 28          	add    $0x28,%rsp
  40208e:	c3                   	retq   
  40208f:	90                   	nop
  402090:	3d 1d 00 00 c0       	cmp    $0xc000001d,%eax
  402095:	74 cb                	je     402062 <__mingw_SEH_error_handler+0xc2>
  402097:	3d 8c 00 00 c0       	cmp    $0xc000008c,%eax
  40209c:	74 26                	je     4020c4 <__mingw_SEH_error_handler+0x124>
  40209e:	b8 01 00 00 00       	mov    $0x1,%eax
  4020a3:	48 83 c4 28          	add    $0x28,%rsp
  4020a7:	c3                   	retq   
  4020a8:	0f 1f 84 00 00 00 00 	nopl   0x0(%rax,%rax,1)
  4020af:	00 
  4020b0:	ba 01 00 00 00       	mov    $0x1,%edx
  4020b5:	b9 08 00 00 00       	mov    $0x8,%ecx
  4020ba:	e8 09 0a 00 00       	callq  402ac8 <signal>
  4020bf:	e8 1c fa ff ff       	callq  401ae0 <_fpreset>
  4020c4:	31 c0                	xor    %eax,%eax
  4020c6:	48 83 c4 28          	add    $0x28,%rsp
  4020ca:	c3                   	retq   
  4020cb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)
  4020d0:	31 d2                	xor    %edx,%edx
  4020d2:	b9 08 00 00 00       	mov    $0x8,%ecx
  4020d7:	e8 ec 09 00 00       	callq  402ac8 <signal>
  4020dc:	48 83 f8 01          	cmp    $0x1,%rax
  4020e0:	0f 85 5b ff ff ff    	jne    402041 <__mingw_SEH_error_handler+0xa1>
  4020e6:	ba 01 00 00 00       	mov    $0x1,%edx
  4020eb:	b9 08 00 00 00       	mov    $0x8,%ecx
  4020f0:	e8 d3 09 00 00       	callq  402ac8 <signal>
  4020f5:	31 c0                	xor    %eax,%eax
  4020f7:	e9 07 ff ff ff       	jmpq   402003 <__mingw_SEH_error_handler+0x63>
  4020fc:	0f 1f 40 00          	nopl   0x0(%rax)
  402100:	ba 01 00 00 00       	mov    $0x1,%edx
  402105:	b9 04 00 00 00       	mov    $0x4,%ecx
  40210a:	e8 b9 09 00 00       	callq  402ac8 <signal>
  40210f:	31 c0                	xor    %eax,%eax
  402111:	e9 ed fe ff ff       	jmpq   402003 <__mingw_SEH_error_handler+0x63>
  402116:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  40211d:	00 00 00 
  402120:	ba 01 00 00 00       	mov    $0x1,%edx
  402125:	b9 0b 00 00 00       	mov    $0xb,%ecx
  40212a:	e8 99 09 00 00       	callq  402ac8 <signal>
  40212f:	31 c0                	xor    %eax,%eax
  402131:	e9 cd fe ff ff       	jmpq   402003 <__mingw_SEH_error_handler+0x63>
  402136:	b8 04 00 00 00       	mov    $0x4,%eax
  40213b:	e9 c3 fe ff ff       	jmpq   402003 <__mingw_SEH_error_handler+0x63>

0000000000402140 <__mingw_init_ehandler>:
  402140:	41 54                	push   %r12
  402142:	55                   	push   %rbp
  402143:	57                   	push   %rdi
  402144:	56                   	push   %rsi
  402145:	53                   	push   %rbx
  402146:	48 83 ec 20          	sub    $0x20,%rsp
  40214a:	e8 91 07 00 00       	callq  4028e0 <_GetPEImageBase>
  40214f:	48 89 c5             	mov    %rax,%rbp
  402152:	8b 05 f0 54 00 00    	mov    0x54f0(%rip),%eax        # 407648 <was_here.95027>
  402158:	85 c0                	test   %eax,%eax
  40215a:	75 25                	jne    402181 <__mingw_init_ehandler+0x41>
  40215c:	48 85 ed             	test   %rbp,%rbp
  40215f:	74 20                	je     402181 <__mingw_init_ehandler+0x41>
  402161:	48 8d 0d 88 21 00 00 	lea    0x2188(%rip),%rcx        # 4042f0 <.rdata>
  402168:	c7 05 d6 54 00 00 01 	movl   $0x1,0x54d6(%rip)        # 407648 <was_here.95027>
  40216f:	00 00 00 
  402172:	e8 a9 05 00 00       	callq  402720 <_FindPESectionByName>
  402177:	48 85 c0             	test   %rax,%rax
  40217a:	74 14                	je     402190 <__mingw_init_ehandler+0x50>
  40217c:	b8 01 00 00 00       	mov    $0x1,%eax
  402181:	48 83 c4 20          	add    $0x20,%rsp
  402185:	5b                   	pop    %rbx
  402186:	5e                   	pop    %rsi
  402187:	5f                   	pop    %rdi
  402188:	5d                   	pop    %rbp
  402189:	41 5c                	pop    %r12
  40218b:	c3                   	retq   
  40218c:	0f 1f 40 00          	nopl   0x0(%rax)
  402190:	48 8d 1d c9 55 00 00 	lea    0x55c9(%rip),%rbx        # 407760 <emu_pdata>
  402197:	b9 30 00 00 00       	mov    $0x30,%ecx
  40219c:	31 f6                	xor    %esi,%esi
  40219e:	48 8d 15 bb 54 00 00 	lea    0x54bb(%rip),%rdx        # 407660 <emu_xdata>
  4021a5:	48 89 df             	mov    %rbx,%rdi
  4021a8:	f3 48 ab             	rep stos %rax,%es:(%rdi)
  4021ab:	4c 8d 25 ee fd ff ff 	lea    -0x212(%rip),%r12        # 401fa0 <__mingw_SEH_error_handler>
  4021b2:	b9 20 00 00 00       	mov    $0x20,%ecx
  4021b7:	48 89 d7             	mov    %rdx,%rdi
  4021ba:	f3 48 ab             	rep stos %rax,%es:(%rdi)
  4021bd:	49 29 ec             	sub    %rbp,%r12
  4021c0:	48 89 d7             	mov    %rdx,%rdi
  4021c3:	eb 2e                	jmp    4021f3 <__mingw_init_ehandler+0xb3>
  4021c5:	c6 07 09             	movb   $0x9,(%rdi)
  4021c8:	48 83 c6 01          	add    $0x1,%rsi
  4021cc:	48 83 c3 0c          	add    $0xc,%rbx
  4021d0:	44 89 67 04          	mov    %r12d,0x4(%rdi)
  4021d4:	8b 48 0c             	mov    0xc(%rax),%ecx
  4021d7:	89 4b f4             	mov    %ecx,-0xc(%rbx)
  4021da:	03 48 08             	add    0x8(%rax),%ecx
  4021dd:	48 89 f8             	mov    %rdi,%rax
  4021e0:	48 83 c7 08          	add    $0x8,%rdi
  4021e4:	48 29 e8             	sub    %rbp,%rax
  4021e7:	89 43 fc             	mov    %eax,-0x4(%rbx)
  4021ea:	89 4b f8             	mov    %ecx,-0x8(%rbx)
  4021ed:	48 83 fe 20          	cmp    $0x20,%rsi
  4021f1:	74 32                	je     402225 <__mingw_init_ehandler+0xe5>
  4021f3:	48 89 f1             	mov    %rsi,%rcx
  4021f6:	e8 75 06 00 00       	callq  402870 <_FindPESectionExec>
  4021fb:	48 85 c0             	test   %rax,%rax
  4021fe:	75 c5                	jne    4021c5 <__mingw_init_ehandler+0x85>
  402200:	48 85 f6             	test   %rsi,%rsi
  402203:	89 f2                	mov    %esi,%edx
  402205:	0f 84 71 ff ff ff    	je     40217c <__mingw_init_ehandler+0x3c>
  40220b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)
  402210:	48 8d 0d 49 55 00 00 	lea    0x5549(%rip),%rcx        # 407760 <emu_pdata>
  402217:	49 89 e8             	mov    %rbp,%r8
  40221a:	ff 15 2c 60 00 00    	callq  *0x602c(%rip)        # 40824c <__imp_RtlAddFunctionTable>
  402220:	e9 57 ff ff ff       	jmpq   40217c <__mingw_init_ehandler+0x3c>
  402225:	ba 20 00 00 00       	mov    $0x20,%edx
  40222a:	eb e4                	jmp    402210 <__mingw_init_ehandler+0xd0>
  40222c:	0f 1f 40 00          	nopl   0x0(%rax)

0000000000402230 <_gnu_exception_handler>:
  402230:	53                   	push   %rbx
  402231:	48 83 ec 20          	sub    $0x20,%rsp
  402235:	48 8b 11             	mov    (%rcx),%rdx
  402238:	8b 02                	mov    (%rdx),%eax
  40223a:	48 89 cb             	mov    %rcx,%rbx
  40223d:	89 c1                	mov    %eax,%ecx
  40223f:	81 e1 ff ff ff 20    	and    $0x20ffffff,%ecx
  402245:	81 f9 43 43 47 20    	cmp    $0x20474343,%ecx
  40224b:	0f 84 bf 00 00 00    	je     402310 <_gnu_exception_handler+0xe0>
  402251:	3d 91 00 00 c0       	cmp    $0xc0000091,%eax
  402256:	77 68                	ja     4022c0 <_gnu_exception_handler+0x90>
  402258:	3d 8d 00 00 c0       	cmp    $0xc000008d,%eax
  40225d:	73 7c                	jae    4022db <_gnu_exception_handler+0xab>
  40225f:	3d 08 00 00 c0       	cmp    $0xc0000008,%eax
  402264:	0f 84 b0 00 00 00    	je     40231a <_gnu_exception_handler+0xea>
  40226a:	0f 87 f4 00 00 00    	ja     402364 <_gnu_exception_handler+0x134>
  402270:	3d 02 00 00 80       	cmp    $0x80000002,%eax
  402275:	0f 84 9f 00 00 00    	je     40231a <_gnu_exception_handler+0xea>
  40227b:	3d 05 00 00 c0       	cmp    $0xc0000005,%eax
  402280:	75 1f                	jne    4022a1 <_gnu_exception_handler+0x71>
  402282:	31 d2                	xor    %edx,%edx
  402284:	b9 0b 00 00 00       	mov    $0xb,%ecx
  402289:	e8 3a 08 00 00       	callq  402ac8 <signal>
  40228e:	48 83 f8 01          	cmp    $0x1,%rax
  402292:	0f 84 51 01 00 00    	je     4023e9 <_gnu_exception_handler+0x1b9>
  402298:	48 85 c0             	test   %rax,%rax
