YEAR,STATION,Entries 0600-1000,Exits 0600-1000,Entries 1000-1500,Exits 1000-1500,Entries 1500-1900,Exits 1500-1900,Entries 1900 -0600,Exits 1900 -0600,Entries 0000-2359,Exits 0000-2359,LAT,LONG
2016,Hawkesbury River,-,-,-,-,-,-,-,-,250,210,-33.547055,151.226657
2017,Hawkesbury River,-,-,-,-,-,-,-,-,230,230,-33.547055,151.226657
2018,Hawkesbury River,-,-,-,-,-,-,-,-,230,250,-33.547055,151.226657
2019,Hawkesbury River,-,-,-,-,-,-,-,-,260,250,-33.547055,151.226657
Feb 2020,Hawkesbury River,-,-,-,-,-,-,-,-,250,250,-33.547055,151.226657
May 2020,Hawkesbury River,-,-,-,-,-,-,-,-,70,40,-33.547055,151.226657
Sep 2020,Hawkesbury River,-,-,-,-,-,-,-,-,150,140,-33.547055,151.226657
2016,Hazelbrook,-,-,-,-,-,-,-,-,380,360,-33.723430,150.454186
2017,Hazelbrook,-,-,-,-,-,-,-,-,400,380,-33.723430,150.454186
2018,Hazelbrook,-,-,-,-,-,-,-,-,420,370,-33.723430,150.454186
2019,Hazelbrook,-,-,-,-,-,-,-,-,410,330,-33.723430,150.454186
May 2020,Hazelbrook,-,-,-,-,-,-,-,-,100,80,-33.723430,150.454186
Sep 2020,Hazelbrook,-,-,-,-,-,-,-,-,180,170,-33.723430,150.454186
2016,Heathcote,390,60,90,70,50,330,50,110,580,570,-34.087863,151.008357
2017,Heathcote,430,60,100,80,60,380,60,100,650,620,-34.087863,151.008357
2018,Heathcote,460,60,80,80,60,400,60,100,660,640,-34.087863,151.008357
2019,Heathcote,460,50,90,80,60,410,70,90,680,630,-34.087863,151.008357
Feb 2020,Heathcote,480,60,110,90,60,400,80,120,730,670,-34.087863,151.008357
May 2020,Heathcote,-,-,-,-,-,-,-,-,160,160,-34.087863,151.008357
Sep 2020,Heathcote,-,-,-,-,-,-,-,-,300,300,-34.087863,151.008357
2016,Helensburgh,-,-,-,-,-,-,-,-,600,570,-34.177168,150.994166
2017,Helensburgh,-,-,-,-,-,-,-,-,690,640,-34.177168,150.994166
2018,Helensburgh,-,-,-,-,-,-,-,-,690,650,-34.177168,150.994166
2019,Helensburgh,-,-,-,-,-,-,-,-,690,630,-34.177168,150.994166
Feb 2020,Helensburgh,-,-,-,-,-,-,-,-,690,600,-34.177168,150.994166
May 2020,Helensburgh,-,-,-,-,-,-,-,-,110,110,-34.177168,150.994166
Sep 2020,Helensburgh,-,-,-,-,-,-,-,-,310,290,-34.177168,150.994166
2016,Holsworthy,2520,190,330,280,270,2120,290,660,3410,3250,-33.962912,150.956438
2017,Holsworthy,2870,190,380,340,310,2450,350,700,3910,3680,-33.962912,150.956438
2018,Holsworthy,2950,240,370,360,340,2570,400,650,4060,3820,-33.962912,150.956438
2019,Holsworthy,2880,240,390,380,370,2540,430,700,4070,3860,-33.962912,150.956438
Feb 2020,Holsworthy,2890,260,350,320,390,2570,430,730,4060,3880,-33.962912,150.956438
May 2020,Holsworthy,360,80,90,80,90,450,160,70,700,680,-33.962912,150.956438
Sep 2020,Holsworthy,970,150,210,190,190,950,230,240,1600,1530,-33.962912,150.956438
2016,Homebush,1250,260,480,330,450,1030,230,790,2410,2410,-33.866771,151.086208
2017,Homebush,1630,300,620,390,560,1280,290,950,3100,2920,-33.866771,151.086208
2018,Homebush,1880,320,730,440,600,1500,350,990,3560,3250,-33.866771,151.086208
2019,Homebush,1900,360,720,480,690,1540,390,980,3700,3360,-33.866771,151.086208
Feb 2020,Homebush,1880,310,660,440,620,1450,400,960,3560,3160,-33.866771,151.086208
May 2020,Homebush,350,120,300,210,240,430,180,210,1070,970,-33.866771,151.086208
Sep 2020,Homebush,780,210,490,340,430,750,250,450,1950,1750,-33.866771,151.086208
2016,Hornsby,6070,2310,2340,2190,2830,5980,950,2000,12190,12480,-33.703636,151.098857
2017,Hornsby,6400,2550,2480,2200,2940,6420,1020,2100,12840,13270,-33.703636,151.098857
2018,Hornsby,6340,2550,2510,2340,3050,6550,1040,2280,12940,13720,-33.703636,151.098857
2019,Hornsby,6620,2810,2700,2470,3430,6950,1190,2170,13940,14400,-33.703636,151.098857
Feb 2020,Hornsby,6460,3070,2750,2530,3640,6730,1310,2130,14160,14460,-33.703636,151.098857
May 2020,Hornsby,1000,770,860,810,900,1170,430,460,3190,3210,-33.703636,151.098857
Sep 2020,Hornsby,2800,1960,1710,1590,2390,3260,810,990,7710,7800,-33.703636,151.098857
2016,Hurlstone Park,930,80,270,180,170,700,80,290,1450,1250,-33.910190,151.132542
2017,Hurlstone Park,990,80,270,190,170,780,90,260,1520,1310,-33.910190,151.132542
2018,Hurlstone Park,1030,100,300,180,200,780,110,390,1640,1450,-33.910190,151.132542
2019,Hurlstone Park,1030,80,280,180,190,820,110,380,1610,1460,-33.910190,151.132542
Feb 2020,Hurlstone Park,990,90,240,150,170,790,100,280,1500,1310,-33.910190,151.132542
May 2020,Hurlstone Park,160,40,90,70,60,160,40,40,350,310,-33.910190,151.132542
Sep 2020,Hurlstone Park,380,60,160,120,110,340,70,130,720,650,-33.910190,151.132542
2016,Hurstville,8840,2520,5070,4200,4570,9590,1770,4540,20250,20850,-33.967077,151.102260
2017,Hurstville,9630,2730,5520,4480,4920,10530,1890,4720,21960,22460,-33.967077,151.102260
2018,Hurstville,9650,2760,5420,4540,4960,10680,2090,4960,22120,22940,-33.967077,151.102260
2019,Hurstville,9890,2810,5660,4900,5240,10910,2320,5140,23110,23760,-33.967077,151.102260
Feb 2020,Hurstville,9390,2630,4520,4000,4760,10500,2380,4670,21050,21800,-33.967077,151.102260
May 2020,Hurstville,2100,950,1980,1860,1900,2970,970,1270,6950,7050,-33.967077,151.102260
Sep 2020,Hurstville,4570,1830,3480,3050,3270,5780,1710,2560,13030,13220,-33.967077,151.102260
2016,Ingleburn,1950,530,530,450,560,1780,390,640,3430,3400,-33.997586,150.864439
2017,Ingleburn,2020,610,610,500,610,1850,390,680,3630,3640,-33.997586,150.864439
2018,Ingleburn,2020,580,680,570,620,1940,440,680,3760,3770,-33.997586,150.864439
2019,Ingleburn,2110,620,610,530,640,2040,460,660,3820,3850,-33.997586,150.864439
Feb 2020,Ingleburn,1990,630,570,500,640,1900,470,670,3670,3700,-33.997586,150.864439
May 2020,Ingleburn,430,290,300,240,320,540,240,190,1290,1260,-33.997586,150.864439
Sep 2020,Ingleburn,850,460,410,340,460,930,310,360,2030,2090,-33.997586,150.864439
2016,International,1170,2050,1140,1020,840,930,610,480,3760,4480,-33.935196,151.166486
2017,International,1210,2100,1210,1090,930,990,660,550,4010,4730,-33.935196,151.166486
2018,International,1430,2040,1320,1190,950,980,700,540,4400,4750,-33.935196,151.166486
2019,International,1530,1990,1230,1160,950,1120,720,540,4430,4810,-33.935196,151.166486
Feb 2020,International,1240,1880,1420,1050,970,880,710,490,4340,4300,-33.935196,151.166486
May 2020,International,-,-,-,-,-,-,-,-,150,190,-33.935196,151.166486
Sep 2020,International,-,-,-,-,-,-,-,-,250,290,-33.935196,151.166486
2016,Jannali,1970,160,370,350,250,1700,160,480,2750,2690,-34.015990,151.064656
2017,Jannali,2080,220,390,360,300,1810,180,450,2950,2840,-34.015990,151.064656
2018,Jannali,2080,230,370,360,300,1810,170,450,2920,2850,-34.015990,151.064656
2019,Jannali,2160,250,400,360,290,1850,200,500,3050,2960,-34.015990,151.064656
Feb 2020,Jannali,2210,230,390,350,330,1880,200,530,3130,2990,-34.015990,151.064656
May 2020,Jannali,270,80,130,110,90,300,90,70,580,560,-34.015990,151.064656
Sep 2020,Jannali,760,140,240,220,170,750,130,180,1300,1290,-34.015990,151.064656
2016,Katoomba,260,170,270,460,350,270,90,120,970,1020,-33.712190,150.312019
2017,Katoomba,280,220,370,590,440,320,100,140,1190,1270,-33.712190,150.312019
2018,Katoomba,270,220,370,580,390,280,120,140,1150,1220,-33.712190,150.312019
2019,Katoomba,280,210,460,710,520,350,110,140,1370,1410,-33.712190,150.312019
Feb 2020,Katoomba,-,-,-,-,-,-,-,-,190,200,-33.712190,150.312019
May 2020,Katoomba,-,-,-,-,-,-,-,-,190,200,-33.712190,150.312019
Sep 2020,Katoomba,120,90,160,160,120,140,50,50,450,440,-33.712190,150.312019
2016,Kiama,180,50,120,120,70,150,40,60,410,380,-34.672599,150.854366
2017,Kiama,190,60,130,140,90,160,60,70,470,430,-34.672599,150.854366
2018,Kiama,190,60,120,160,90,160,50,70,450,450,-34.672599,150.854366
2019,Kiama,230,60,170,190,90,180,50,70,540,500,-34.672599,150.854366
Feb 2020,Kiama,190,50,150,190,120,160,60,70,520,470,-34.672599,150.854366
May 2020,Kiama,-,-,-,-,-,-,-,-,100,100,-34.672599,150.854366
Sep 2020,Kiama,-,-,-,-,-,-,-,-,290,280,-34.672599,150.854366
2016,Killara,1590,170,490,320,310,1150,70,570,2460,2210,-33.765774,151.161949
2017,Killara,1680,160,470,330,320,1250,100,590,2570,2330,-33.765774,151.161949
2018,Killara,1780,150,470,400,310,1270,90,570,2650,2390,-33.765774,151.161949
2019,Killara,1720,190,490,330,350,1310,90,560,2650,2390,-33.765774,151.161949
Feb 2020,Killara,1560,200,460,310,310,1230,120,530,2450,2270,-33.765774,151.161949
May 2020,Killara,-,-,-,-,-,-,-,-,360,350,-33.765774,151.161949
Sep 2020,Killara,510,160,290,190,250,450,50,180,1100,980,-33.765774,151.161949
2016,Kings Cross,5180,4890,3120,2670,5070,5530,2210,3020,15580,16110,-33.874179,151.222301
2017,Kings Cross,5170,5270,3160,2780,5660,5860,2350,3170,16340,17080,-33.874179,151.222301
2018,Kings Cross,5100,5370,3220,2800,5620,5760,2230,3000,16170,16930,-33.874179,151.222301
2019,Kings Cross,5100,5310,3240,2890,5650,5610,2240,2840,16230,16650,-33.874179,151.222301
Feb 2020,Kings Cross,5230,5510,3510,2890,5910,5760,2480,3280,17130,17440,-33.874179,151.222301
May 2020,Kings Cross,950,1650,1180,1110,1760,1360,580,550,4470,4670,-33.874179,151.222301
Sep 2020,Kings Cross,2150,2970,1960,1770,3160,2750,1220,1360,8490,8850,-33.874179,151.222301
2016,Kingsgrove,1240,510,490,310,620,1080,200,470,2550,2370,-33.940438,151.100939
2017,Kingsgrove,1300,650,540,360,740,1160,230,500,2810,2670,-33.940438,151.100939
2018,Kingsgrove,1250,570,560,330,610,1130,230,530,2650,2560,-33.940438,151.100939
2019,Kingsgrove,1240,570,480,340,690,1110,240,500,2650,2520,-33.940438,151.100939
Feb 2020,Kingsgrove,1230,530,440,320,650,1100,250,520,2570,2470,-33.940438,151.100939
May 2020,Kingsgrove,220,170,160,110,180,260,100,100,660,640,-33.940438,151.100939
Sep 2020,Kingsgrove,480,280,300,220,330,470,160,200,1270,1170,-33.940438,151.100939
2016,Kingswood,990,620,530,510,680,850,240,270,2440,2250,-33.758315,150.720165
2017,Kingswood,1120,580,490,470,640,930,280,330,2530,2310,-33.758315,150.720165
2018,Kingswood,1170,620,530,500,720,1010,320,380,2740,2510,-33.758315,150.720165
2019,Kingswood,1260,640,570,510,670,1060,340,420,2840,2630,-33.758315,150.720165
Feb 2020,Kingswood,1200,540,470,340,520,1020,310,440,2500,2340,-33.758315,150.720165
May 2020,Kingswood,260,160,180,160,180,330,180,100,800,750,-33.758315,150.720165
Sep 2020,Kingswood,490,340,280,240,360,470,210,210,1340,1260,-33.758315,150.720165
2016,Kirrawee,910,150,270,190,180,730,80,220,1440,1290,-34.034911,151.071020
2017,Kirrawee,870,200,250,200,270,730,90,240,1480,1370,-34.034911,151.071020
2018,Kirrawee,900,280,290,210,320,750,110,250,1620,1490,-34.034911,151.071020
2019,Kirrawee,1020,290,320,270,340,920,150,300,1830,1780,-34.034911,151.071020
Feb 2020,Kirrawee,1150,260,340,270,300,950,170,330,1960,1810,-34.034911,151.071020
May 2020,Kirrawee,190,120,120,130,140,220,70,50,520,520,-34.034911,151.071020
Sep 2020,Kirrawee,440,200,260,210,220,470,120,130,1040,1010,-34.034911,151.071020
2016,Kogarah,4370,3120,2930,2100,3480,4010,1120,2380,11900,11610,-33.962713,151.132337
2017,Kogarah,4600,3010,3080,2220,3450,4300,1140,2410,12270,11940,-33.962713,151.132337
2018,Kogarah,4760,3060,3000,2260,3570,4470,1280,2440,12610,12230,-33.962713,151.132337
2019,Kogarah,4720,3180,3190,2290,3750,4660,1460,2540,13120,12670,-33.962713,151.132337
Feb 2020,Kogarah,4690,3090,2880,2140,3580,4430,1420,2540,12570,12200,-33.962713,151.132337
May 2020,Kogarah,1060,830,1140,940,1140,1380,650,720,3990,3870,-33.962713,151.132337
Sep 2020,Kogarah,2000,1750,1970,1450,2100,2280,960,1260,7030,6740,-33.962713,151.132337
2016,Koolewong,-,-,-,-,-,-,-,-,140,100,-33.466139,151.318423
2017,Koolewong,-,-,-,-,-,-,-,-,130,100,-33.466139,151.318423
2018,Koolewong,-,-,-,-,-,-,-,-,150,100,-33.466139,151.318423
2019,Koolewong,-,-,-,-,-,-,-,-,120,90,-33.466139,151.318423
Feb 2020,Koolewong,-,-,-,-,-,-,-,-,120,80,-33.466139,151.318423
Sep 2020,Koolewong,-,-,-,-,-,-,-,-,60,50,-33.466139,151.318423
2016,Lakemba,1780,330,1020,770,640,1670,460,860,3900,3630,-33.919914,151.076252
2017,Lakemba,1790,390,1070,790,640,1700,410,700,3910,3580,-33.919914,151.076252
2018,Lakemba,1910,340,1050,930,690,2060,710,990,4360,4320,-33.919914,151.076252
2019,Lakemba,1900,360,1170,870,780,2270,990,1210,4840,4710,-33.919914,151.076252
Feb 2020,Lakemba,1790,390,990,790,750,1820,520,770,4050,3770,-33.919914,151.076252
May 2020,Lakemba,460,170,500,450,340,670,320,280,1620,1570,-33.919914,151.076252
Sep 2020,Lakemba,870,300,690,510,500,1040,430,510,2490,2360,-33.919914,151.076252
2016,Lapstone,-,-,-,-,-,-,-,-,180,140,-33.773419,150.642623
2017,Lapstone,-,-,-,-,-,-,-,-,160,150,-33.773419,150.642623
2018,Lapstone,-,-,-,-,-,-,-,-,170,150,-33.773419,150.642623
2019,Lapstone,-,-,-,-,-,-,-,-,160,150,-33.773419,150.642623
Feb 2020,Lapstone,-,-,-,-,-,-,-,-,130,110,-33.773419,150.642623
2016,Lawson,-,-,-,-,-,-,-,-,190,190,-33.719265,150.429896
2017,Lawson,-,-,-,-,-,-,-,-,200,190,-33.719265,150.429896
2018,Lawson,-,-,-,-,-,-,-,-,200,170,-33.719265,150.429896
2019,Lawson,-,-,-,-,-,-,-,-,180,180,-33.719265,150.429896
May 2020,Lawson,-,-,-,-,-,-,-,-,60,50,-33.719265,150.429896
Sep 2020,Lawson,-,-,-,-,-,-,-,-,110,100,-33.719265,150.429896
2016,Leightonfield,-,-,-,-,-,-,-,-,260,310,-33.881579,150.985032
2017,Leightonfield,-,-,-,-,-,-,-,-,280,290,-33.881579,150.985032
2018,Leightonfield,-,-,-,-,-,-,-,-,270,300,-33.881579,150.985032
2019,Leightonfield,-,-,-,-,-,-,-,-,270,320,-33.881579,150.985032
Feb 2020,Leightonfield,-,-,-,-,-,-,-,-,260,260,-33.881579,150.985032
May 2020,Leightonfield,-,-,-,-,-,-,-,-,140,150,-33.881579,150.985032
Sep 2020,Leightonfield,-,-,-,-,-,-,-,-,220,240,-33.881579,150.985032
2016,Leppington,980,50,120,120,80,790,120,250,1300,1210,-33.954478,150.808257
2017,Leppington,1250,70,150,150,110,1030,170,340,1680,1590,-33.954478,150.808257
2018,Leppington,1590,110,220,210,160,1480,260,360,2230,2160,-33.954478,150.808257
2019,Leppington,1960,140,280,240,210,1830,400,490,2850,2700,-33.954478,150.808257
Feb 2020,Leppington,2160,170,290,280,250,2040,470,530,3170,3020,-33.954478,150.808257
May 2020,Leppington,300,90,110,90,110,390,220,120,740,690,-33.954478,150.808257
Sep 2020,Leppington,830,130,200,190,160,850,300,260,1490,1430,-33.954478,150.808257
2016,Leumeah,1900,110,360,290,170,1790,400,550,2830,2740,-34.050716,150.830653
2017,Leumeah,1920,100,320,300,190,1740,390,560,2820,2700,-34.050716,150.830653
2018,Leumeah,2070,130,390,350,210,2000,470,540,3140,3020,-34.050716,150.830653
2019,Leumeah,2150,140,410,340,230,2050,500,620,3290,3150,-34.050716,150.830653
Feb 2020,Leumeah,2200,130,350,320,230,2010,490,610,3270,3070,-34.050716,150.830653
May 2020,Leumeah,320,60,120,110,90,440,230,90,760,700,-34.050716,150.830653
Sep 2020,Leumeah,710,110,220,180,170,770,280,210,1380,1270,-34.050716,150.830653
2016,Leura,140,40,90,100,130,130,70,80,430,350,-33.712121,150.331129
2017,Leura,140,40,120,130,170,150,70,80,500,400,-33.712121,150.331129
2018,Leura,150,40,120,120,180,160,60,70,510,390,-33.712121,150.331129
2019,Leura,-,-,-,-,-,-,-,-,520,410,-33.712121,150.331129
May 2020,Leura,-,-,-,-,-,-,-,-,80,80,-33.712121,150.331129
Sep 2020,Leura,-,-,-,-,-,-,-,-,230,210,-33.712121,150.331129
2016,Lewisham,1450,410,430,250,530,1050,130,510,2540,2220,-33.893373,151.147571
2017,Lewisham,1800,560,550,300,660,1330,160,480,3170,2670,-33.893373,151.147571
2018,Lewisham,1960,500,530,290,620,1500,190,610,3300,2900,-33.893373,151.147571
2019,Lewisham,2220,520,530,320,640,1670,210,680,3600,3190,-33.893373,151.147571
Feb 2020,Lewisham,2280,540,510,340,690,1710,240,720,3720,3310,-33.893373,151.147571
May 2020,Lewisham,290,140,170,140,150,280,80,80,690,640,-33.893373,151.147571
Sep 2020,Lewisham,800,280,320,220,370,710,140,270,1630,1480,-33.893373,151.147571
2016,Lidcombe,5410,1980,2650,1980,2880,5030,1410,3070,12350,12060,-33.863644,151.044657
2017,Lidcombe,5770,2140,2960,2230,3230,5390,1450,3360,13410,13120,-33.863644,151.044657
2018,Lidcombe,5870,2200,3130,2370,3420,5640,1700,3410,14120,13620,-33.863644,151.044657
2019,Lidcombe,5870,3390,3360,2610,4530,5850,2130,3560,15890,15410,-33.863644,151.044657
Feb 2020,Lidcombe,5500,2060,2810,2100,3000,5320,2030,3460,13340,12940,-33.863644,151.044657
May 2020,Lidcombe,1410,730,1250,990,1220,1830,860,940,4740,4490,-33.863644,151.044657
Sep 2020,Lidcombe,3030,1430,2040,1660,2250,3430,1530,2060,8850,8580,-33.863644,151.044657
2016,Lindfield,2220,370,670,540,570,1820,150,660,3610,3390,-33.775528,151.169283
2017,Lindfield,2390,440,720,590,660,1940,180,740,3950,3710,-33.775528,151.169283
2018,Lindfield,2450,440,740,590,680,2070,180,720,4050,3820,-33.775528,151.169283
2019,Lindfield,2670,490,780,700,750,2190,220,830,4420,4210,-33.775528,151.169283
Feb 2020,Lindfield,2700,540,860,730,810,2290,260,880,4630,4440,-33.775528,151.169283
May 2020,Lindfield,270,190,230,210,200,310,90,90,790,800,-33.775528,151.169283
Sep 2020,Lindfield,890,370,530,450,470,920,140,330,2030,2070,-33.775528,151.169283
2016,Lisarow,-,-,-,-,-,-,-,-,210,200,-33.382127,151.370125
2017,Lisarow,-,-,-,-,-,-,-,-,240,200,-33.382127,151.370125
2018,Lisarow,-,-,-,-,-,-,-,-,230,190,-33.382127,151.370125
2019,Lisarow,-,-,-,-,-,-,-,-,230,200,-33.382127,151.370125
Feb 2020,Lisarow,-,-,-,-,-,-,-,-,180,160,-33.382127,151.370125
May 2020,Lisarow,-,-,-,-,-,-,-,-,50,40,-33.382127,151.370125
Sep 2020,Lisarow,-,-,-,-,-,-,-,-,100,100,-33.382127,151.370125
2016,Lithgow,-,-,-,-,-,-,-,-,110,60,-33.480721,150.156818
2017,Lithgow,130,40,70,50,50,110,40,60,290,260,-33.480721,150.156818
2018,Lithgow,-,-,-,-,-,-,-,-,250,260,-33.480721,150.156818
2019,Lithgow,-,-,-,-,-,-,-,-,100,60,-33.480721,150.156818
Feb 2020,Lithgow,-,-,-,-,-,-,-,-,70,50,-33.480721,150.156818
Sep 2020,Lithgow,-,-,-,-,-,-,-,-,120,120,-33.480721,150.156818
2016,Liverpool,2780,2530,2080,1890,2580,2960,900,1060,8340,8440,-33.923945,150.927211
2017,Liverpool,2950,2650,2230,2110,2890,3230,1020,1150,9090,9140,-33.923945,150.927211
2018,Liverpool,2940,3150,2500,2310,3260,3220,1190,1250,9890,9930,-33.923945,150.927211
2019,Liverpool,3010,3470,2660,2500,3620,3370,1190,1270,10480,10610,-33.923945,150.927211
Feb 2020,Liverpool,3040,3230,2420,2260,3250,3320,1260,1290,9970,10100,-33.923945,150.927211
May 2020,Liverpool,810,1160,970,950,1080,1050,650,430,3510,3590,-33.923945,150.927211
Sep 2020,Liverpool,1590,1980,1570,1490,2010,1930,870,720,6040,6120,-33.923945,150.927211
2016,Loftus,-,-,-,-,-,-,-,-,640,590,-34.045227,151.051299
2017,Loftus,-,-,-,-,-,-,-,-,700,650,-34.045227,151.051299
2018,Loftus,-,-,-,-,-,-,-,-,670,620,-34.045227,151.051299
2019,Loftus,-,-,-,-,-,-,-,-,720,640,-34.045227,151.051299
Feb 2020,Loftus,-,-,-,-,-,-,-,-,670,610,-34.045227,151.051299
May 2020,Loftus,-,-,-,-,-,-,-,-,90,80,-34.045227,151.051299
Sep 2020,Loftus,-,-,-,-,-,-,-,-,250,220,-34.045227,151.051299
2016,Macarthur,1240,540,590,630,630,1290,360,420,2820,2880,-34.072383,150.797275
2017,Macarthur,1300,640,650,690,750,1380,430,480,3130,3190,-34.072383,150.797275
2018,Macarthur,1330,660,720,760,780,1490,450,420,3280,3330,-34.072383,150.797275
2019,Macarthur,1380,700,850,860,890,1670,500,450,3620,3680,-34.072383,150.797275
Feb 2020,Macarthur,1370,540,650,700,760,1620,570,510,3350,3370,-34.072383,150.797275
May 2020,Macarthur,190,120,180,210,180,320,170,70,720,720,-34.072383,150.797275
Sep 2020,Macarthur,490,330,400,440,490,750,320,170,1700,1690,-34.072383,150.797275
2016,Macdonaldtown,660,370,240,220,400,620,130,320,1430,1530,-33.896792,151.185386
2017,Macdonaldtown,750,430,280,280,470,710,130,310,1630,1730,-33.896792,151.185386
2018,Macdonaldtown,630,290,210,170,370,470,110,250,1320,1180,-33.896792,151.185386
2019,Macdonaldtown,600,250,210,150,360,490,130,240,1300,1130,-33.896792,151.185386
Feb 2020,Macdonaldtown,630,280,240,160,420,580,150,330,1440,1350,-33.896792,151.185386
May 2020,Macdonaldtown,-,-,-,-,-,-,-,-,300,280,-33.896792,151.185386
Sep 2020,Macdonaldtown,230,140,140,120,210,200,70,120,650,580,-33.896792,151.185386
2016,Macquarie Fields,660,50,160,110,150,550,130,220,1100,930,-33.984905,150.879008
2017,Macquarie Fields,680,60,180,130,180,600,160,220,1200,1010,-33.984905,150.879008
2018,Macquarie Fields,640,40,160,140,210,600,150,200,1160,980,-33.984905,150.879008
2019,Macquarie Fields,630,60,180,140,250,590,150,220,1210,1010,-33.984905,150.879008
Feb 2020,Macquarie Fields,610,160,260,110,240,550,140,230,1250,1050,-33.984905,150.879008
May 2020,Macquarie Fields,-,-,-,-,-,-,-,-,310,280,-33.984905,150.879008
Sep 2020,Macquarie Fields,270,50,110,80,160,300,110,110,650,540,-33.984905,150.879008
2016,Macquarie Park,640,3150,570,530,3100,720,380,240,4690,4640,-33.785224,151.128222
2017,Macquarie Park,730,3230,580,530,3260,750,390,310,4960,4820,-33.785224,151.128222
2018,Macquarie Park,790,3100,590,560,3120,820,360,370,4860,4850,-33.785224,151.128222
2019,Macquarie Park,600,3550,630,640,3770,770,440,310,5440,5270,-33.785224,151.128222
Feb 2020,Macquarie Park,710,3810,640,610,3780,840,490,330,5620,5590,-33.785224,151.128222
May 2020,Macquarie Park,110,530,160,120,480,180,140,70,890,900,-33.785224,151.128222
Sep 2020,Macquarie Park,270,1110,320,250,1020,380,240,140,1850,1880,-33.785224,151.128222
2016,Macquarie University,1880,4530,2660,3910,5940,3290,1800,1160,12280,12890,-33.777295,151.118277
2017,Macquarie University,2050,4740,2980,4050,6130,3520,1810,1220,12970,13530,-33.777295,151.118277
2018,Macquarie University,2040,4280,2850,3990,5640,3520,1750,1220,12280,13010,-33.777295,151.118277
2019,Macquarie University,1710,5380,3080,4340,6650,3230,1970,980,13410,13930,-33.777295,151.118277
Feb 2020,Macquarie University,1850,4420,2860,3240,5400,3060,1450,1150,11560,11870,-33.777295,151.118277
May 2020,Macquarie University,280,610,420,400,710,460,180,180,1590,1650,-33.777295,151.118277
Sep 2020,Macquarie University,870,1610,1210,1270,2080,1570,630,610,4790,5060,-33.777295,151.118277
2016,Maitland,-,-,-,-,-,-,-,-,360,340,-32.737748,151.552236
2017,Maitland,-,-,-,-,-,-,-,-,430,390,-32.737748,151.552236
2018,Maitland,-,-,-,-,-,-,-,-,530,480,-32.737748,151.552236
2019,Maitland,-,-,-,-,-,-,-,-,620,570,-32.737748,151.552236
Feb 2020,Maitland,240,140,130,120,120,220,40,40,530,520,-32.737748,151.552236
May 2020,Maitland,-,-,-,-,-,-,-,-,120,120,-32.737748,151.552236
Sep 2020,Maitland,-,-,-,-,-,-,-,-,140,100,-32.737748,151.552236
2016,Marayong,620,150,150,110,180,480,70,170,1020,910,-33.746123,150.900178
2017,Marayong,680,170,170,130,210,540,90,160,1150,1000,-33.746123,150.900178
2018,Marayong,680,170,200,150,200,630,100,180,1180,1130,-33.746123,150.900178
2019,Marayong,760,160,210,140,230,680,100,200,1300,1180,-33.746123,150.900178
Feb 2020,Marayong,720,140,200,150,200,610,90,190,1210,1090,-33.746123,150.900178
May 2020,Marayong,130,80,100,80,100,140,60,50,390,350,-33.746123,150.900178
Sep 2020,Marayong,270,130,140,110,170,240,60,100,640,580,-33.746123,150.900178
2016,Marrickville,2090,560,800,620,820,1840,330,880,4040,3900,-33.913843,151.153203
2017,Marrickville,2410,630,930,660,900,2180,340,820,4580,4290,-33.913843,151.153203
2018,Marrickville,2380,570,900,700,890,2150,440,970,4610,4390,-33.913843,151.153203
2019,Marrickville,2520,650,940,730,970,2300,460,1000,4890,4680,-33.913843,151.153203
Feb 2020,Marrickville,2630,580,910,720,930,2340,430,900,4900,4540,-33.913843,151.153203
May 2020,Marrickville,410,210,350,300,300,520,170,150,1230,1180,-33.913843,151.153203
Sep 2020,Marrickville,1080,390,640,500,610,1150,320,470,2650,2510,-33.913843,151.153203
2016,Martin Place,790,18300,3340,4010,15400,2220,3450,770,22980,25300,-33.867840,151.210991
2017,Martin Place,830,19080,3410,3980,16360,2360,3640,750,24240,26170,-33.867840,151.210991
2018,Martin Place,780,19400,3240,3920,16400,2220,3490,800,23910,26340,-33.867840,151.210991
2019,Martin Place,760,19370,3390,3930,16440,2290,3190,820,23780,26410,-33.867840,151.210991
Feb 2020,Martin Place,840,19800,3220,3940,16550,2490,3530,940,24140,27170,-33.867840,151.210991
May 2020,Martin Place,210,2300,840,780,2040,440,410,230,3500,3750,-33.867840,151.210991
Sep 2020,Martin Place,420,6810,1590,1840,5580,1060,1260,420,8850,10130,-33.867840,151.210991
2016,Mascot,2930,5530,2080,1450,5600,2850,1110,1930,11720,11760,-33.923227,151.187365
2017,Mascot,3570,6370,2500,1740,6610,3560,1350,2370,14030,14040,-33.923227,151.187365
2018,Mascot,4070,6610,3150,2060,7080,4230,1610,3060,15910,15960,-33.923227,151.187365
2019,Mascot,4910,7130,3700,2450,7910,5350,1990,3710,18510,18640,-33.923227,151.187365
Feb 2020,Mascot,4850,6940,3180,2400,7610,5150,2100,3530,17740,18020,-33.923227,151.187365
May 2020,Mascot,970,1460,1070,850,1640,1440,640,630,4320,4380,-33.923227,151.187365
Sep 2020,Mascot,2180,2370,1750,1270,2810,2640,1170,1720,7910,8000,-33.923227,151.187365
2016,Meadowbank,2500,800,850,510,880,1840,290,1020,4520,4170,-33.815662,151.090072
